position_loss,velocity_loss,steering_loss,acceleration_loss,object_distance_loss,traffic_light_detected_loss,total_loss
-61.0280027601454,-46.75734354654948,-34.76641849941677,0.08985252264473173,0.02374837967670626,0.04795724083152082,-142.3902062310113
-62.841519843207465,-47.75554156833225,-34.941623051961265,-2.0407413787311977,0.02159031457785103,0.04189647266434299,-147.51593797471787
-61.66453052096897,-47.306604342990454,-35.110750155978735,-1.3001042801472875,0.021278903798924553,0.04676112826499674,-145.31395060221354
-62.74574822319879,-46.899829949273006,-34.444120491875545,-2.2366022132337093,0.022037430480122567,0.04684753202729755,-146.25741543240017
-63.00656899346246,-48.41637666490343,-35.35166914198134,-2.4520680795113248,0.021075707487761976,0.046014329087403084,-149.1595950656467
-63.13825556437175,-48.350030687120224,-34.905558819240994,-1.726049123207728,0.01986697870824072,0.04424588373965687,-148.05578104654947
-63.653928714328345,-48.72774641248915,-35.5130738152398,-2.63553874409861,0.020247368204096953,0.04414487315548791,-150.4658952501085
-62.744071282280814,-49.64251234266493,-35.607803429497615,-3.495066605011622,0.019916002845598593,0.045724626754721005,-151.42381354437933
-63.45581232706706,-49.04225014580621,-35.47992206149631,-3.2879244450065825,0.02032158650043938,0.04452673801117473,-151.20106235080294
-63.645832231309676,-48.496685112847224,-35.23168890211317,-3.6531494504875606,0.019324623400138484,0.04327492564916611,-150.96475694444445
-61.93308300442166,-47.402532958984374,-34.848377015855576,0.15394123444954555,0.02842200148022837,0.04608621907730897,-143.95554283989802
-63.09020317925347,-50.095160251193576,-35.55663066440158,-2.8277183489667044,0.02381387944850657,0.042930689247118105,-151.50296664767797
-63.78936682807075,-50.49472613864475,-35.55056728786892,-3.839497211244371,0.019946335007747014,0.04028628352615568,-153.61392517089843
-64.19615054660373,-50.00998357137044,-35.68171361287435,-4.3095341444015505,0.018307692371308804,0.039473736824260815,-154.13959859212238
-63.97787933349609,-50.48467653062608,-34.95651240878635,-3.281290927529335,0.01769929484774669,0.03945929958588547,-152.64320373535156
-64.37969241672091,-50.82871593899197,-35.714802805582686,-4.311648851136367,0.017840780938665073,0.03786369433833493,-155.1791544596354
-63.53231565687391,-50.72323523627387,-35.70912111070421,-4.819716780715519,0.01792520568188694,0.03839030596945021,-154.7280748155382
-64.55441157023112,-51.51779971652561,-35.91299154493544,-5.128822792238659,0.01623604279011488,0.0379259584678544,-157.0598629421658
-64.1523792690701,-51.05475997924805,-35.896986643473305,-5.4352996600998775,0.018422672587136427,0.0381349830991692,-156.48286844889324
-64.2687626308865,-50.4954934226142,-35.97623863220215,-4.416892831193076,0.016260881680581304,0.03668263310359584,-155.1044460720486
-63.37228791978624,-48.67996393839518,-34.85945150587294,-0.23408340563376745,0.017712080333795812,0.04390468903713756,-147.08417019314237
-64.61364127265082,-49.93649809095594,-35.78104019165039,-5.407764145400789,0.018202613749437862,0.037177996585766475,-155.68356187608507
-65.03388442993165,-51.253304629855684,-35.731603410508896,-6.238802193270789,0.02471123066627317,0.03649762082431052,-158.1963860405816
-64.80144280327691,-52.18737055460612,-35.346992619832356,-5.8345982286665174,0.02081399584809939,0.035668424392739935,-158.11392211914062
